timestamp;accel.x;accel.y;accel.z
1464530722690;-3.7061205;-5.6731477;-25.251865
1464530722725;-3.8195946;-9.778106;-15.022042
1464530722759;-10.409569;-11.30341;-18.097198
1464530722793;-13.421414;-11.356512;-17.259604
1464530722828;-11.1165495;-11.964474;-14.384394
1464530722863;-7.227725;-11.88693;-11.119566
1464530722898;-3.3886898;-12.284948;-5.148533
1464530722938;-2.579006;-14.208322;-4.5692463
1464530722972;-1.2039394;-14.60363;-4.2221575
1464530723006;0.75185895;-20.73425;-6.821228
1464530723039;3.0586617;-14.54305;-3.9415913
1464530723073;-1.251095;-8.885799;-0.7042818
1464530723107;-6.9717107;-7.542039;-0.8884908
1464530723141;-6.0520606;7.594326;7.221696
1464530723174;7.4353275;12.025131;5.3736877
1464530723208;12.262653;15.114515;9.886625
1464530723242;10.740606;16.192999;29.682165
1464530723277;5.9791946;-0.56638145;18.043297
1464530723311;1.9229405;-7.4040575;13.808387
1464530723356;7.5656977;-16.008072;20.605955
1464530723390;9.535955;-15.92564;9.680506
5.3745103;-13.687681;-0.10096502
